run,condition,layer,turn,projection,proj_norm
scenario_09_aa_feed_run04,aa_feed,32,10,-19.20931434631348,5.304121398925776
scenario_09_aa_feed_run04,aa_feed,32,11,-19.63802528381348,4.875410461425776
scenario_09_aa_feed_run04,aa_feed,32,12,-11.43833351135254,13.075102233886716
scenario_09_aa_feed_run04,aa_feed,32,13,-15.461470603942873,9.051965141296384
scenario_09_aa_feed_run04,aa_feed,32,14,-14.995436668395996,9.51799907684326
scenario_09_aa_feed_run04,aa_feed,50,0,16.91317367553711,17.851064586639403
scenario_09_aa_feed_run04,aa_feed,50,1,2.515055656433105,3.4529465675354
scenario_09_aa_feed_run04,aa_feed,50,2,-2.8823742866516118,-1.9444833755493172
scenario_09_aa_feed_run04,aa_feed,50,3,-12.11194133758545,-11.174050426483154
scenario_09_aa_feed_run04,aa_feed,50,4,-9.123368263244627,-8.185477352142332
scenario_09_aa_feed_run04,aa_feed,50,5,10.704301834106444,11.642192745208739
scenario_09_aa_feed_run04,aa_feed,50,6,10.806819915771484,11.74471082687378
scenario_09_aa_feed_run04,aa_feed,50,7,16.656333923339844,17.594224834442137
scenario_09_aa_feed_run04,aa_feed,50,8,20.586994171142575,21.524885082244868
scenario_09_aa_feed_run04,aa_feed,50,9,13.390560150146484,14.32845106124878
scenario_09_aa_feed_run04,aa_feed,50,10,17.8330020904541,18.770893001556395
scenario_09_aa_feed_run04,aa_feed,50,11,9.608219146728516,10.546110057830811
scenario_09_aa_feed_run04,aa_feed,50,12,26.264137268066406,27.2020281791687
scenario_09_aa_feed_run04,aa_feed,50,13,21.130550384521484,22.068441295623778
scenario_09_aa_feed_run04,aa_feed,50,14,21.545175552368164,22.483066463470458
scenario_09_mb_0_feed_run00,mb_0_feed,32,0,-18.582035064697266,1.107320785522461
scenario_09_mb_0_feed_run00,mb_0_feed,32,1,-21.14902687072754,-1.4596710205078125
scenario_09_mb_0_feed_run00,mb_0_feed,32,2,-19.71622467041016,-0.02686882019043324
scenario_09_mb_0_feed_run00,mb_0_feed,32,3,-20.856609344482425,-1.1672534942626989
scenario_09_mb_0_feed_run00,mb_0_feed,32,4,-18.14288330078125,1.5464725494384766
scenario_09_mb_0_feed_run00,mb_0_feed,32,5,-14.087953567504885,5.601402282714842
scenario_09_mb_0_feed_run00,mb_0_feed,32,6,-18.418535232543945,1.2708206176757812
